sentence_id	source	translation	reference	error_repetitions	error_named_entities	error_omission	error_strong	error_full
31	Wir sind dagegen.	We are against it.	We oppose this.	0	0	0	0	0
32	Bitte, interessiert Hüten, mit denen früher zu erklären.	Please, interested hats to explain with those earlier.	Please, those interested in herding, to declare sooner.	0	0	0	0	0
33	Individuel können sie auch links bestehlt werden.	They can also be individually selected on the left.	They can also be produced with leads turned to the left upon request.	0	0	0	0	0
34	Das ist zumindest meine Auffassung.	That, at least, is my view.	This is in any event my own opinion.	0	0	0	0	0
35	Die Gen- und Biotechnologie ist ohne Zweifel mit großen Gefahren verbunden.	Genetic engineering and biotechnology are undoubtedly very dangerous.	There is no doubt that great dangers are associated with genetic engineering and biotechnology.	0	0	0	0	0
36	Mal uni, mal mit Metall, mal mit Glas oder wieder in uni.	Mal uni, mal mit Metall, mal mit Glas oder wieder in Uni.	Sometimes plain, sometimes with metal or glass and then back to plain again.	0	0	0	0	1
37	"""Europa muss als Ganzes wettbewerbsfähig werden""."	"""Europe as a whole must become competitive."""	"Europe has to become competitive as a whole."""	0	0	0	0	0
38	Beifall von links	Applause from the left	Applause from the left	0	0	0	0	0
39	Viele beklagen das, zu Recht.	Many complain, and rightly so.	Many people, quite rightly, are complaining about this.	0	0	0	0	0
40	Die Gesellschaft behält ohne weiteres ihre marktführende Stellung, wenn man die Dynamik der erzielten Erträge berücksichtigt - daher belegt sie den ersten Platz im Ranking der Dynamischsten Leasingunternehmen in Polen und in der Aufstellung der Größten Leasingunternehmen in Polen platziert sich VB Leasing hinsichtlich der erzielten Erträge auf Rang 2.	VB Leasing is ranked second in terms of revenue achieved. This is why VB Leasing is ranked second in the ranking of the most dynamic leasing companies in Poland.	The company is an indisputable leader in terms of the revenue growth - the 1st place in the Ranking of the Most Dynamic Leasing Companies in Poland, whereas in the Ranking of the Largest Leasing Companies in Poland in reference to the revenue growth VB LEASING holds the 2nd position.	0	0	1	0	0
41	Stellen Sie sehr- hoch den unseren Bitten vor, damit sehr schnell auf uns die Barmherzigkeiten des Herrn fallen; und erfassen selbst antikes'l Schlange, die n'etwas anderes ist als der Teufel, oder Satan, um es zu überstürzen verknüpft in den Abgründen in qu-Art'er mehr die Nationen nie verführen kann (AP 20).	Imagine very high that of our prayers, that the mercy of the Lord may fall upon us very quickly; and capture even antikes'l snake, which is n'et something other than the devil, or Satan, to rush it in the abysses in qu-art'er more the nations can never seduce (AP 20).	Present at the Almighty our prayers, so that, well quickly, on us the mercies go down from the Lord; and seize yourself the antique snake, which isn't other than the devil or Satan, to precipitate it connected in the abysses, in kind that it can allure never again nations (AP 20).	0	0	0	0	0
42	Es war eine schreckliche Spannung, die nur wir Temeswarer in ihrem wirklichen Ausmass kennen.	It was a terrible tension that only we know Temeswarer on its real scale.	It was a ferocious fight; it is only us, the people of Timisoara, who are aware of its real proportions.	0	0	0	0	0
43	(Das Parlament nimmt den Entwurf der llegislativen Entschließung an.)	(Parliament adopted the legislative resolution)	(Parliament adopted the legislative resolution)	0	0	0	0	0
44	Ebenfalls teuer, oft überteuert sind Preise in Restaurants und Kneipen (auch die schlichteren Versionen).	It's also expensive, often overpriced, in restaurants and pubs (even the more slim versions).	Expensive and often overpriced are also restaurants and bars of all categories.	0	0	0	0	0
45	Umso mehr freut es mich und hoffentlich auch Euch, mal wieder was mit Kelly und mir zu sehen.	This makes me and I hope you will be happy to see something with Kelly and myself again.	So I am very pleased and hopefully you are, that we did again something together.	0	0	0	0	0
46	"Der Rat erzielte auf der Grundlage eines Gesamtkompromisses des Vorsitzes mit qualifizierter Mehrheit bei Gegenstimmen der französischen, der belgischen und der luxemburgischen Delegation eine politische Einigung über ihren Gemeinsamen Standpunkt zum ""zweiten Eisenbahnpaket"", also den vier Vorschlägen für Rechtsakte, d.h."	"The Council reached a political agreement on its common position on the ""second railway package,"" i.e. the four legislative proposals, on the basis of an overall compromise between the Presidency and the qualified majority of the French, Belgian and Luxembourg delegations."	"The Council, on the basis of an overall Presidency compromise, reached by qualified majority a political agreement, the French, Belgian and Luxembourg delegation voting against, on its Common position on the ""Second Railway Package,"" i.e. the four legislative proposals on"	0	0	0	0	0
47	Die weitere Planung sieht gegenwärtig einen Start zur zweiten Wertungsfahrt in der Nacht von Freitag auf Samstag vor.	Further planning is currently planned for the start of the second round of the evaluation trip from Friday to Saturday.	The schedule for the next days is to have the second flight launching in the night from Friday to Saturday.	0	0	1	0	0
48	Gott sagt ein verdammt, Ihr perditio, dh ehemalige dir ist für die Gesundheit sagen, Sie sin Ihre von Ihnen haben die Ursache Verdammnis, während retten war ich bereit, um Sie, wenn Sie für Ihren abwarten wollten.	God says a damn, your perditio, ie former you are to say for health, you are falling your cause damned while saving I was ready to await you if you wanted to wait for your.	God says a damn, your perditio, that formerly you, is to say, you've been with sin, the cause of your damnation, while I was ready to save you, if you wanted to wait for your health.	0	0	0	0	0
49	(Beifall und Zwischenrufe)	(Applause and heckling)	(Applause and heckling)	0	0	0	0	0
50	Kartellrecht und Fusionen	Antitrust and mergers	Antitrust and mergers	0	0	0	0	0
51	Die Zimmer beziehen, die Fenster mit Aussicht öffnen, tief durchatmen, staunen.	The staff were very friendly and helpful.	Head up to the rooms , open up the windows and savour the view, breathe deeply, marvel.	0	0	0	0	1
52	Viel Freude und auf ein baldiges ......	We are looking forward to seeing you soon...	Have fun and see you soon ......	0	0	0	1	0
53	Zunächst einmal muss der Agrarhaushalt der EU für den nächsten Finanzierungszeitraum mindestens die Höhe des Agrarhaushalts für 2013 beibehalten, wenn die GAP zur Erreichung der Ziele der Strategie Europa 2020 beitragen soll.	First of all, if the CAP is to contribute to the Europe 2020 objectives, the EU's agricultural budget must maintain at least the level of the agricultural budget for 2013 for the next financing period.	Firstly, if the CAP is to contribute towards the achievement of the Europe 2020 objectives, the EU agricultural budget for the next financing period should be maintained at least at the same level as the 2013 agricultural budget.	0	0	0	0	0
54	Private Einrichtungen können diese sinnvoll ergänzen.	Private institutions can add value to this.	Private establishments can supplement this provision meaningfully.	0	0	0	0	0
55	Kaisergranat, ohne Kopf	Norway lobster, headless	Norway lobster, head removed	0	0	0	0	0
56	Sie möchten sich frischen Wind um die Na...	You want to get fresh wind around the Na...	The sea air, the islands for a change of...	0	0	0	0	0
57	Überprüfen Sie den aufzublasenden Gegenstand auf Dichtigkeit (Risse, Nähte).	Check for seams and cracks on the item to be loaded.	Please check if the inflatable has a tear and that the stitching is correct.	0	0	0	0	0
58	Für einen dringenden Auftrag hält man den Auftrag, bei derer Übersetzung täglich mehr als 7 Normativseiten gemacht wird.	An urgent task is the task of which translation is made more than 7 standard pages every day.	The order will be considered as an urgent one if the speed of translation will be more then 7 standard pages per day.	0	0	0	0	0
59	Zum Erholen und Regenerieren können die Gäste außerdem alle Einrichtungen und Geräte für das Herzfitness im Fitness-Center Fitness-Center und der hochmodernen Sauna des Hotels benutzen.	Guests can also relax and regenerate in the fitness centre and use the hotel's state-of-the-art sauna.	To relax and revive themselves, guests can also use all the equipment and machinery for heart-fitness in the gym and the very modern sauna in the hotel.	0	0	1	0	0
60	Wird bei jedem Pankreas-Krebs die ganze Bauchspeicheldrüse entfernt?	Is the whole pancreas removed from each pancreas of pancreas?	Is the entire pancreas always removed in pancreatic cancer operations?	1	0	0	1	0
61	Rasul kam knapp mit dem Leben davon.	Rasul came close to life.	Rasul barely survived.	0	0	0	0	0
62	Unser Ziel muß ein schrittweises Vorangehen auf dem Weg zu einer immer stärkeren Harmonisierung der Drogenpolitik sein.	Our aim must be gradual progress towards ever-increasing harmonisation of drugs policy.	We must press on steadily for more and more harmonisation in drugs policy.	0	0	0	0	0
63	Der Rat ruft die Kommission auf,	The Council calls on the Commission to:	The Council calls on the Commission to:	0	0	0	0	0
64	Dominique BUSSEREAU Staatssekretär für Verkehr	For further information, please contact Christopher Fretwell	Mr Dominique BUSSEREAU Minister of State with responsibility for Transport	0	0	0	0	1
65	Aber so wahr ich hier stehe, kann ich nur sagen:	However, as far as I am concerned, I can only say:	But here I stand, and cannot but say:	0	0	0	0	0
66	Ich übernehme es auch gerne, Ihr Fahrzeug für Sie erfolgreich zu verkaufen.	I am also happy to sell your vehicle for you.	I gladly offer to take on all activities needed to sell your car effectively on a consignment basis.	0	0	1	0	0
67	Bäcker schwächen können, bis hin zur Geschäftsaufgabe.	Bakers can weaken right up to the business task.	with industrially produced rather than home-baked rolls.	0	0	0	0	0
68	Soweit die Verwarnung.	That is the warning.	So much for the reprimand.	0	0	0	0	0
69	Wie kann man sich weiter entwickeln?	How can we move forward?	How is it possible to evolve?	0	0	0	0	0
70	Ich bin genau dieser Meinung.	That is precisely what I think.	I share this view entirely.	0	0	0	0	0
71	Sie ist unverzichtbar.	It is essential.	It is indispensable.	0	0	0	0	0
72	In Rio kann täglich trainiert werden, sonntags findet eine offene Roda statt.	In Rio you can practice daily, and on Sundays you can enjoy an open rod.	In Rio you can have class every day, sundays happens an open roda.	0	0	0	0	0
73	Fordern wir ein Mitspracherecht auch bei den obligatorischen Ausgaben oder nicht?	Are we also asking for a say in compulsory expenditure or not?	Are we or are we not demanding a voice in the chapter on obligatory spending too?	0	0	0	0	0
74	Die TEN sind voll in Funktion.	TENs are fully operational.	TENs is very much up and going.	0	0	0	0	0
75	Herr Vorsitzender, meine Damen und Herren Abgeordneten!	Mr President, ladies and gentlemen.	Mr Chairman, Ladies and Gentlemen,	0	0	0	0	0
76	Über ihnen eine Rede und gehen.	They have a speech and go.	About them a speech and go.	0	0	0	0	0
77	Es hätte ihnen gut zu Gesicht gestanden.	It would have been good to see them.	It would have become them.	0	0	0	0	0
78	Sicher im MVV zur Jubiläums-Wiesn fahren ...	Driving safely in the MVV to Jubilee-Wiesn ...	Your local contact partners help you out ...	0	0	0	0	0
79	Nennen Sie doch die Dinge beim Namen!	Call a spade a spade!	However, call a spade a spade!	0	0	1	0	0
80	Um kahlen Stellen, wenn sie ohne Rüstung pg.	To dig dig digits if they have no armor pg.	To make bare patches when they are pg without armor.	1	0	0	1	0
81	Natürlich ist Timoschenko keine Heilige.	Of course, Tymoshenko is not a saint.	Of course, Tymoshenko is no saint.	0	0	0	0	0
82	Was tun wir?	What are we doing?	What are we doing?	0	0	0	0	0
83	Meine Drehzahlanzeige zeigt ungefähr das Doppelte/Halbe/Falsche an.	My speed indicator shows about double/hulp/hulp.	The engine speed indication reports approximately the double/half value.	1	0	0	0	0
84	Unterkünfte und Hotels gibt es überall, aber auch hier gilt: meist sehr teuer.	There are plenty of accommodation and hotels to choose from, but it is also a very expensive option.	You will find accomodations and hotels everywhere but mostly at very high rates.	0	0	0	0	0
85	Daher werden Phoneme auch dem übergeordneten Sprachsystem (langue) zugeordnet, während die konkrete Äußerung der Phone in der Rede (parole) stattfindet.	The phonemes are often used to describe the phonemes as the phonemes of the phonemes. The phonemes of the phonemes are often referred to as the phonemes of the phonemes of the phonemes.	For this reason, phonemes are considered part of the higher-order system of language (langue), while the actual utterance of the phones takes place in speech (parole).	1	0	0	1	0
86	Private Parkplätze stehen am Hotel zur Verfügung und kosten EUR 20,00 pro Tag .	Private parking is possible on site and costs EUR 20.00 per day.	Private parking is possible on site and costs EUR 20.00 per day.	0	0	0	0	0
87	Zu schön für die Arbeitswelt	Too beautiful for the world of work	Through the Lookism Glass	0	0	0	0	0
88	Empfehlenswert gleich mit der Zimmerreservierung zu buchen!	The staff were very friendly and helpful. The room was clean and comfortable.	We recommend booking your treatments together with the hotel booking!	0	0	0	0	1
89	Plafonds für den Grundsatz der Freistellung	Exemption ceiling	Limits to the principle of exemption	0	0	0	0	0
90	Das Ende von AIDS	Ending AIDS	The End of AIDS	0	0	0	0	0
91	Art (lateinische Bezeichnung)	Species (Latin name)	Species LATIN NAME	0	0	0	0	0
92	Für die Lösung dieser Probleme sind lokale Ansätze ebenso notwendig wie der Blick auf globale Zusammenhänge.	Addressing these problems requires local approaches, as well as looking at global contexts.	Cross-border collaborations need to be determined in order to identify solutions to common problems.	0	0	0	0	0
93	Der EUSR hat die Aufgabe,	The role of the EUSR is to:	The EUSR's mandate will be to:	0	0	0	0	0
94	Bei uns ist immer was los.	We always have something to do with us.	We are always in a ferment.	0	0	0	0	0
95	Frau Präsidentin, es handelt sich hier um eine kleine Geschäftsordnungsangelegenheit.	Madam President, this is a small point of order.	Madam President, this is a small point of order.	0	0	0	0	0
96	Gleichwertigkeitsabkommen mit den Drittländern	Equivalence agreements with third countries	Equivalence agreements with third countries	0	0	0	0	0
97	Gegen diesen Beschluss hat Deutschland Klage auf Nichtigerklärung erhoben.	Germany brought an action for annulment against that decision.	Germany brought an action for annulment of that decision.	0	0	0	0	0
98	Aber auch sonst ist Minden äußerst merk-würdig und damit immer eine Reise wert!	But otherwise Minden is very odd and therefore always worth a trip!	Besides the Battle of Minden this city is more than recommendable and always worth a visit!	0	0	0	0	0
99	Auch in der weiteren Entfernung sind von den Bäumen fast nur Stümpfe übriggeblieben.	Nearly all of the trees were left of stockings.	Also in the other distance almost only stumps have been left from the trees.	0	0	0	0	0
100	Rund um das Recht - dafür steht die Rechtsanwaltskanzlei Dogan & Koyuncu.	The law firm Dogan & Koyuncu stands for this.	to it's clients with comprehensive skill, goal-oriented and professional service.	0	0	1	0	0
101	Für die Anbringung am Ausstellungsort muss es auch mit einem entsprechenden Haken versehen sein.	An appropriate hook must also be attached to the location of the exhibition.	There must present also a eye hook to hang on the exposition place.	0	0	0	0	0
102	Es ist besser die ungefäre Ankunftzeit vorher per Telefon zu vereinbaren, denn die Rezeption ist nicht nachtsüber geöffnet.	The staff were very friendly and helpful.	The preliminary arrival time is better to be agreed by phone in advance, because the reception is not open non-stop.	0	0	0	0	1
103	Aber natürlich hat auch diese noch viel zu tun.	But, of course, there is still much to be done by these too.	Naturally, however, they, too, still have much to do.	0	0	0	0	0
104	Art (latei­nische Bezeichnung)	Species (Latin name)	Species (Latin name)	0	0	0	0	0
105	Der vorliegende Haftungssauschlusstext basiert auf dem kostenlosen Dienst von disclaimer.de .	This disclaimer.de service is based on the current Liability Liability Layer text.	This disclaimer is based on the free service of disclaimer.de .	1	0	0	0	0
106	Soweit die gute Nachricht.	That is the good news.	That's the good news.	0	0	0	0	0
107	Schutz wildlebender Tier- und Pflanzenarten	Protecting wildlife	Protection of wild fauna and flora	0	0	1	0	0
108	Sie haben Fragen zu unseren Produkten?	Do you have any questions about our products?	You would like to have further information?	0	0	0	0	0
109	Das fuer die Fischereipolitik zustaendige Mitglied der EG-Kommission, Vizepraesident M. MARIN, setzt sich dafuer ein, dass die vom Fischfang abhaengigen Gebiete mit geringen wirtschaftlichen Diversifizierungsmoeglichkeiten in die Reform der EG-	Vice-President M. MARIN, responsible for fisheries policy,	Vice-President M. MARIN, EC Commissioner responsible for fisheries policy, argues that those communities which rely on fishing for their livelihood and have little opportunity for economic diversification, should be included within the reform of the EC'	0	0	1	0	0
110	Das Programm nach Doha	The post-Doha programme	The Agenda Beyond Doha	0	0	0	0	0
111	Entfernung vom Flughafen zum Hotel - ca.	The staff were very friendly and helpful.	Distance from Airport to Hotels - approx.	0	0	0	0	1
112	Als Anreiz dienende Fangquote	Fishing quota as an incentive	Incentive catch quota	0	0	0	0	0
113	Beugen Sie den Kopf nach vorn, und dann föhnen Sie Ihr Haar ganz.	Avoid the head ahead, and then get your hair fully folded.	Bend your head forward and then blow-dry your hair throughout.	0	0	0	0	0
114	Deshalb bitten wir um Zustimmung.	We therefore ask you to vote in favour.	We therefore ask you to vote in favour of them.	0	0	0	0	0
115	Sonst baugleich mit W 200 S 4 OHM .	Other similar construction with W 200 S 4 OHM .	Apart from that compatible with W 200 S 4 OHM .	0	0	0	0	0
116	Im Katalog der Unterkunfteinrichtungen sind die angeführten Preise endgültig.	The listed prices are final in the catalogue of underprivileged facilities.	The Accommodation Catalogue gives final prices.	0	0	0	0	0
117	Warum, bitte schön, sind Sie jetzt bockig und geben der ARE nicht den Posten, der ihr eigentlich von der Sache her zusteht?	Why, please, are you now baffling and do not give the ARE the job that it actually deserves from the point of view of the matter?	Why are you being difficult now and not giving the ARE group the place that is in fact due to it in this matter?	0	0	0	0	0
118	Haben Sie Angst vor der Finanzkrise?	Are you afraid of the financial crisis?	Are you afraid of consequences of the financial crisis?	0	0	0	0	0
119	Zu diesem Zweck hat die Europäische Union im Rahmen des 1979 unterzeichneten ECE-Übereinkommens über weiträumige grenzüberschreitende Luftverunreinigungen im Juni ein Protokoll über schwer abbaubare organische Schadstoffe unterzeichnet.	To this end, the European Union signed in June a Protocol on Organic Pollutants which are severely degradable under the ECE Convention on Long-Range Transboundary Air Pollutants, signed in 1979.	To this end, in June this year the European Community signed a protocol on persistent organ polluters under the 1979 ECE Convention for long-range transboundary air pollution.	0	0	0	0	0
120	Es ist verantwortlich, voranzugehen.	It is up to us to move forward.	Responsibility means walking.	0	0	0	0	0
121	Ausgezeichneter Service, sehr gutes Frühstück, alle Welt KIND UND Sehr schönes Hotel, auf jeden Fall zurückkehren.	The staff were very friendly and helpful. The breakfast was good.	EXCELLENT SERVICE, VERY GOOD BREAKFAST, ALL THE WORLD KIND AND VERY NICE HOTEL, DEFINITELY return.	0	0	0	0	0
122	Inangriffnahme einer differenzierten, wachstumsfreundlichen Haushaltskonsolidierung;	tackling differentiated, growth-friendly fiscal consolidation;	pursuing differentiated growth-friendly fiscal consolidation;	0	0	0	0	0
123	Wenn Sie ein Fahrzeug für die Reise mit mehreren Personen benötigen.	If you need a multi-person car.	When you require a vehicle for several people travelling together.	0	0	0	0	0
124	Was Russland bedroht?	What threatens Russia?	What Threatens Russia?	0	0	0	0	0
125	Wie soll besteuert werden?	How to tax?	How should it be enforced?	0	0	0	0	0
126	Vom Frühstücksbuffet bis zum Barhoagascht am Abend gibt es bei Unterlechners ein kleines Geheimnis: Qualität die ihres gleichen sucht muss nicht immer teuer sein!	The hotel is located in the heart of the city. The staff is very friendly and helpful.	From the buffet breakfast to a sociable evening at the bar, Unterlechner lets you into a little secret: exceptional quality need not be expensive!	0	0	0	0	1
127	Nachdem wir das teuer bezahlte Waschbecken recht ausführlich genutzt haben und unser Gepäck wieder auf unseren Buckeln ruht, gehen wir an Deck.	After having used the expensive washbasin quite extensively and resting our luggage on our bumps, we go to deck.	After utilizing the well-paid hand-basin very thoroughly we go on deck with our rucksacks again on our backs.	0	0	0	0	0
128	Handelt es sich dabei um eine notwendige oder eine hinreichende Bedingung?	Is this a necessary or sufficient condition?	Is this a necessary or a sufficient condition?	0	0	0	0	0
129	"L"" Internationaler Flughafen von Madrid Barajas Ist Kilometer tos entfernte 13 von der Mitte von verstanden ihnen Spanisch and?acilmente raggiungibile durchgehendes gefahren in Netz Straße und Gleisder transporte."	"L"" Madrid Barajas International Airport is kilometers tos distance 13 from the center of understood them Spanish and?acilmente raggiungibile continuous drive in net road and track transports."	"L"" International airport of Madrid Barajas Km tos be distant 13 from the center of understood them Spanish and?acilmente raggiungibile through one driven in net of street and railway transports."	0	0	0	0	0
130	Wo die Formen Weichheit und weiblichen Rundungen zelebrieren.	Where the forms of softness and female circuits celebrate.	Where shapes are inspired by softness and female roundings.	0	0	0	0	0
131	Wer soll entscheiden?	Who should decide?	Who is to decide?	0	0	0	0	0
132	Eine angenehme Atmosphäre der alten Stadt, Gastfreundlichkeit und alles zum kleinsten Preis.	The staff were very friendly and helpful. The room was clean and comfortable.	Nice atmosphere of the old town, hospitality, and the lowest prices in Cracow.	0	0	0	0	1
133	Sehr geehrter Herr Präsident, sehr geehrte Frau Kommissarin, liebe Kolleginnen und liebe Kollegen!	Mr President, Commissioner, ladies and gentlemen.	Mr President, Commissioner, ladies and gentlemen, first let me turn to the positive aspects.	0	0	0	0	0
134	Stellen Sie sicher, dass die Einstellungen Ihres Browsers die Unterstüzung von Cookies gewährleisten.	Make sure your browser's settings ensure that cookies are supported.	Make sure that the settings of your browser support cookies.	0	0	0	0	0
135	In einigen Schluesselbereichen werden wir voraussichtlich sogar mit Schwierigkeiten zu kaempfen haben.	In some key areas, we are even likely to have problems.	And some important issues are shrouded in difficulty.	0	0	0	0	0
136	Die Altstadt können Sie auch bequem vom Fiaker aus besichtigen.	You can also visit the old town from the fiaker.	You can also visit the Old Town comfortably with horse-drawn carriages.	0	0	0	0	0
137	Europa steht als von der Natur klimatisch begünstigte Zone auch in der Verantwortung für die weltweite Versorgung der Menschen mit Lebensmitteln.	Europe is also responsible for providing food to people throughout the world, as an area that is inherently climate-friendly.	As an area with a naturally favourable climate, Europe also has a responsibility to ensure that people world-wide are supplied with food.	0	0	0	0	0
138	Mittels der Mehrjährigen Ausrichtungsprogramme (MAP) werden Anreize für die Fischer geschaffen, ihre Fangkapazität auf diese Quote abzustimmen.	The Multiannual Guidance Programmes (MAGPs) encourage fishermen to match their fishing capacity with this quota.	Fishermen are encouraged, using multiannual guidance programmes (MAGPs), to tailor their capacity to these quotas.	0	0	0	0	0
139	Die Marille im Knödel, das Schnitzel in der Panier, das Faschierte im Paprika.	The paprika sauce, the sauce in the panorama, the paprika fashions.	Apricots in dumpling, schnitzel in breadcrumbs, mince in stuffed peppers.	0	0	0	1	0
140	Die Wirksamkeit der Preissignale ist von ausschlaggebender Bedeutung für die Steigerung der Energieeffizienz und die Förderung von FuE-Investitionen.	The effectiveness of price signals is crucial for increasing energy efficiency and promoting RD investment.	Letting price signals work is crucial to increasing energy efficiency and stimulating RD investment.	0	0	0	0	0
141	Nur der Stuck an der Decke uns das Wandabendmahl konnten nicht restauriert werden.	The room was very small and the bathroom was very small.	Only the stuccos of the ceiling and the wall could not be restored.	0	0	0	0	1
142	Frau Präsidentin, liebe Kollegen!	Madam President, ladies and gentlemen.	Madam President, dear colleagues!	0	0	0	0	0
143	Verhinderung einer Zersplitterung des Marktes;	preventing fragmentation of the market;	preventing market fragmentation;	0	0	0	0	0
144	(Die Sitzung wird um 19.27 Uhr unterbrochen und um 21.00 Uhr wiederaufgenommen.)	(The sitting was suspended at 7.27 p.m. and resumed at 9 p.m.)	(The sitting was suspended at 7.27 p.m. and resumed at 9 p.m.)	0	0	0	0	0
145	Davon werden wir nicht abrücken.	We will not abandon this.	We are going to leave no margin.	0	0	0	0	0
